,ticker,comGroupCode,organName,organShortName,organTypeCode,comTypeCode,icbName,icbNamePath,sector,industry,group,subgroup,icbCode,VN30,VNMID,VN100,VNSML,VNALL,HNX30,VNX50,VNXALL,VNDIAMOND,VNFINLEAD,VNFINSELECT,VNSI,VNCOND,VNCONS,VNENE,VNFIN,VNHEAL,VNIND,VNIT,VNMAT,VNREAL,VNUTI
8,ACB,HOSE,Ngân hàng Thương mại Cổ phần Á Châu,ACB,DN,NH,Ngân hàng,Ngân hàng/Ngân hàng/Ngân hàng/Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,True,False,True,False,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False
10,CTG,HOSE,Ngân hàng Thương mại Cổ phần Công thương Việt Nam,VietinBank,DN,NH,Ngân hàng,Ngân hàng/Ngân hàng/Ngân hàng/Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,True,False,True,False,True,False,True,True,True,True,True,True,False,False,False,True,False,False,False,False,False,False
18,VCB,HOSE,Ngân hàng Thương mại Cổ phần Ngoại thương Việt Nam,Vietcombank,DN,NH,Ngân hàng,Ngân hàng/Ngân hàng/Ngân hàng/Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,True,False,True,False,True,False,True,True,False,True,True,True,False,False,False,True,False,False,False,False,False,False
21,HPG,HOSE,Công ty Cổ phần Tập đoàn Hòa Phát,Hòa Phát,DN,CT,Thép và sản phẩm thép,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
26,VJC,HOSE,Công ty Cổ phần Hàng không Vietjet,Vietjet Air,DN,CT,Dịch vụ hàng không,Dịch vụ Tiêu dùng/Du lịch và Giải trí/Du lịch & Giải trí/Hàng không,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,5751,True,False,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
27,MWG,HOSE,Công ty Cổ phần Đầu tư Thế Giới Di Động,Thế giới di động,DN,CT,Phân phối hàng chuyên dụng,Dịch vụ Tiêu dùng/Bán lẻ/Bán lẻ/Phân phối hàng chuyên dụng,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,True,False,True,False,True,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False
29,FPT,HOSE,Công ty Cổ phần FPT,FPT Corp,DN,CT,Phần mềm,Công nghệ Thông tin/Công nghệ Thông tin/Phần mềm & Dịch vụ Máy tính/Phần mềm,Công nghệ Thông tin,Công nghệ Thông tin,Phần mềm & Dịch vụ Máy tính,Phần mềm,9537,True,False,True,False,True,False,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False
110,CEO,HNX,Công ty Cổ phần Tập đoàn C.E.O,Tập đoàn CEO,DN,CT,Bất động sản,Tài chính/Bất động sản/Bất động sản/Bất động sản,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,DIG,HOSE,Tổng Công ty Cổ phần Đầu tư Phát triển Xây dựng,DIC Corp,DN,CT,Bất động sản,Tài chính/Bất động sản/Bất động sản/Bất động sản,Tài chính,Bất động sản,Bất động sản,Bất động sản,8633,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
155,LDG,HOSE,Công ty Cổ phần Đầu tư LDG,Đầu tư LDG,DN,CT,"Tư Vấn, Định giá, Môi giới Bất động sản","Tài chính/Bất động sản/Bất động sản/Tư Vấn, Định giá, Môi giới Bất động sản",Tài chính,Bất động sản,Bất động sản,"Tư Vấn, Định giá, Môi giới Bất động sản",8637,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
376,LPB,HOSE,Ngân hàng Thương mại Cổ phần Bưu Điện Liên Việt,LienVietPostBank,DN,NH,Ngân hàng,Ngân hàng/Ngân hàng/Ngân hàng/Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,Ngân hàng,8355,False,True,True,False,True,False,True,True,False,True,True,False,False,False,False,True,False,False,False,False,False,False
416,HSG,HOSE,Công ty Cổ phần Tập đoàn Hoa Sen,Tập đoàn Hoa Sen,DN,CT,Thép và sản phẩm thép,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,False,True,True,False,True,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False
426,NKG,HOSE,Công ty Cổ phần Thép Nam Kim,Thép Nam Kim,DN,CT,Thép và sản phẩm thép,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,False,True,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
438,TLH,HOSE,Công ty Cổ phần Tập đoàn Thép Tiến Lên,Thép Tiến Lên,DN,CT,Thép và sản phẩm thép,Nguyên vật liệu/Tài nguyên Cơ bản/Kim loại/Thép và sản phẩm thép,Nguyên vật liệu,Tài nguyên Cơ bản,Kim loại,Thép và sản phẩm thép,1757,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False
879,SKG,HOSE,Công ty Cổ phần Tàu Cao tốc Superdong - Kiên Giang,Tàu Cao tốc Superdong,DN,CT,Vận tải hành khách & Du lịch,Dịch vụ Tiêu dùng/Du lịch và Giải trí/Du lịch & Giải trí/Vận tải hành khách & Du lịch,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Vận tải hành khách & Du lịch,5759,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
887,HVN,HOSE,Tổng Công ty Hàng không Việt Nam - CTCP,Vietnam Airlines,DN,CT,Dịch vụ hàng không,Dịch vụ Tiêu dùng/Du lịch và Giải trí/Du lịch & Giải trí/Hàng không,Dịch vụ Tiêu dùng,Du lịch và Giải trí,Du lịch & Giải trí,Hàng không,5751,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
905,FRT,HOSE,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ FPT,DN,CT,Phân phối hàng chuyên dụng,Dịch vụ Tiêu dùng/Bán lẻ/Bán lẻ/Phân phối hàng chuyên dụng,Dịch vụ Tiêu dùng,Bán lẻ,Bán lẻ,Phân phối hàng chuyên dụng,5379,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
1128,HBC,HOSE,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,Tập đoàn Xây dựng Hòa Bình,DN,CT,Xây dựng,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu/Xây dựng,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Xây dựng,2357,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1323,VGC,HOSE,Tổng Công ty Viglacera - Công ty Cổ phần,Tổng Công ty Viglacera,DN,CT,Vật liệu xây dựng & Nội thất,Công nghiệp/Xây dựng và Vật liệu/Xây dựng và Vật liệu/Vật liệu xây dựng & Nội thất,Công nghiệp,Xây dựng và Vật liệu,Xây dựng và Vật liệu,Vật liệu xây dựng & Nội thất,2353,False,True,True,False,True,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
1395,HAH,HOSE,Công ty Cổ phần Vận tải và Xếp dỡ Hải An,Vận tải và Xếp dỡ Hải An,DN,CT,"Kho bãi, hậu cần và bảo dưỡng","Công nghiệp/Hàng & Dịch vụ Công nghiệp/Vận tải/Kho bãi, hậu cần và bảo dưỡng",Công nghiệp,Hàng & Dịch vụ Công nghiệp,Vận tải,"Kho bãi, hậu cần và bảo dưỡng",2777,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
